Description,Violation Type
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,Warning
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,Warning
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Warning
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Warning
"DRIVER FAIL TO YIELD INTERSECTION RIGHT-OF-WAY TO PEDESTRIAN, VEH., BICYCLE AFTER TURN ON RED",Citation
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,Warning
EXCEEDING MAXIMUM SPEED: 59 MPH IN A POSTED 40 MPH ZONE,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
HOLDER OF LEARNER'S PERMIT DRIVING W/O REQ. SUPERVISION,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Warning
TAILLIGHTS (*),ESERO
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
EXCEEDING MAXIMUM SPEED: 54 MPH IN A POSTED 45 MPH ZONE,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,Warning
PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,Warning
PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,Citation
EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,Citation
PEDESTRIAN FAIL TO OBEY UPRAISED HAND SIGNAL,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Citation
"PEDESTRIAN FAIL TO OBEY ""UPRAISED HAND"" SIGNAL",Citation
STOP LIGHTS (*),ESERO
DRIVER FAILURE TO YIELD RIGHT OF WAY ENTERING  HWY. FROM PRIVATE ROAD,Warning
DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,Warning
DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,Warning
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Warning
PEDESTRIAN FAIL TO OBEY UPRAISED HAND SIGNAL,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Citation
EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,Citation
FAILURE TO STOP AT STOP SIGN,Warning
OPERATOR NOT RESTRAINED BY SEATBELT,Citation
"PEDESTRIAN FAIL TO OBEY ""UPRAISED HAND"" SIGNAL",Citation
EXCEEDING HIGHWAY WORK ZONE SPEED LIMIT,Warning
EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 30 MPH ZONE,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,Warning
PEDESTRIAN FAIL TO OBEY UPRAISED HAND SIGNAL,Citation
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,Warning
EXCEEDING HIGHWAY WORK ZONE SPEED LIMIT,Warning
EXCEEDING MAXIMUM SPEED: 46 MPH IN A POSTED 30 MPH ZONE,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Citation
PEDESTRIAN FAIL TO OBEY UPRAISED HAND SIGNAL,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,Warning
EXCEEDING HIGHWAY WORK ZONE SPEED LIMIT,Warning
EXCEEDING MAXIMUM SPEED: 45 MPH IN A POSTED 30 MPH ZONE,Citation
PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,Citation
PEDESTRIAN FAIL TO OBEY UPRAISED HAND SIGNAL,Citation
PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,Warning
EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Warning
PASSENGER AGE 16 OR MORE IN REAR SEAT OF MOTOR VEH WITHOUT SEATBELT RESTRAINT,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,Warning
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,Citation
EXCEEDING HIGHWAY WORK ZONE SPEED LIMIT,Warning
EXCEEDING MAXIMUM SPEED: 48 MPH IN A POSTED 30 MPH ZONE,Citation
EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,Citation
PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,Warning
EXCEEDING HIGHWAY WORK ZONE SPEED LIMIT,Warning
EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,Citation
EXCEEDING MAXIMUM SPEED: 55 MPH IN A POSTED 30 MPH ZONE,Citation
DRIVING VEHICLE DIRECTLY IN FRONT OF OVERTAKEN VEHICLE,Citation
"NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",Citation
UNSAFE PASSING TO RIGHT OF OVERTAKEN VEH.,Citation
PEDESTRIAN FAIL TO OBEY UPRAISED HAND SIGNAL,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
FAILURE TO STOP AT STOP SIGN,Citation
EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,Citation
PEDESTRIAN FAIL TO OBEY UPRAISED HAND SIGNAL,Citation
PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,Warning
PEDESTRIAN FAIL TO OBEY UPRAISED HAND SIGNAL,Citation
EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,Citation
PEDESTRIAN FAIL TO OBEY UPRAISED HAND SIGNAL,Citation
PEDESTRIAN FAIL TO OBEY UPRAISED HAND SIGNAL,Citation
PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,Warning
EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
EXCEEDING HIGHWAY WORK ZONE SPEED LIMIT,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,Warning
PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,Citation
EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,Citation
PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,Warning
DRIVER CHANGING LANES WHEN UNSAFE,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
DRIVER FAIL TO MAKE REQUIRED STOP AT SIGN,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Citation
FAILURE YIELD RIGHT OF WAY ON LEFT TURN,Warning
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,Warning
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Warning
FAILURE TO STOP AT STOP SIGN,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Warning
EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
EXCEEDING HIGHWAY WORK ZONE SPEED LIMIT,Warning
EXCEEDING MAXIMUM SPEED: 48 MPH IN A POSTED 30 MPH ZONE,Citation
HOLDER OF LEARNER'S PERMIT DRIVING W/O REQ. SUPERVISION,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,Warning
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Warning
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE,Warning
"FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY EMERGENCY, POLICE VEH.",Warning
PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,Warning
STOP LIGHTS (*),ESERO
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Citation
HOLDER OF LEARNER'S PERMIT DRIVING W/O REQ. SUPERVISION,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Warning
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH. DURING REG. PERIOD,Warning
EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,Warning
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Citation
WINDOW TINT,ESERO
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Citation
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation
MODIFYING VEHICLE REGISTRATION PLATE W/INTENT TO AVOID ID,Warning
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,Citation
UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Warning
DRIVING ON HWY. WITH OBSTRUCTED WINDSHIELD VIEW,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
TAG LIGHTS (*),ESERO
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
"DRIVING, ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED OUT-OF-STATE LICENSE,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
EXCEEDING MAXIMUM SPEED: 34 MPH IN A POSTED 25 MPH ZONE,Citation
DRIVER FAILURE TO YIELD RIGHT OF WAY ENTERING HWY. FROM PRIVATE DRIVEWAY,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,Warning
EXCEEDING MAXIMUM SPEED: 55 MPH IN A POSTED 35 MPH ZONE,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,Warning
EXCEEDING MAXIMUM SPEED: 34 MPH IN A POSTED 25 MPH ZONE,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Citation
OPERATING UNREGISTERED MOTOR VEHICLE,Citation
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,Citation
OWNER FAILURE TO APPLY TO ADM. FOR REG OF VEH. SUBJECT TO REG.,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 60 MPH,Warning
EXCEEDING MAXIMUM SPEED: 44 MPH IN A POSTED 35 MPH ZONE,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Warning
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Warning
FAILURE TO STOP AT STOP SIGN,Warning
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH. DURING REG. PERIOD,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
"DRIVER FAIL TO MAKE REQUIRED STOP AT SIGN, PAVEMENT MARK",Citation
EXCEEDING MAXIMUM SPEED: 34 MPH IN A POSTED 25 MPH ZONE,Citation
DISPLAYING / PERMITTING TO BE DISPLAYED REG. PLATE ISSUED FOR OTHER VEHICLE,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,Citation
"PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",Citation
UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Citation
WINDOW TINT,ESERO
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Citation
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,Citation
WINDOW TINT,ESERO
DRIVING VEHICLE IN HOV LANE WHEN NOT AUTHORIZED BY TRAFFIC CONTROL DEVICE,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 50 MPH,Warning
STOP LIGHTS (*),ESERO
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,Warning
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Warning
OPERATOR NOT RESTRAINED BY SEATBELT,Citation
DRIVING UNSAFE VEH. ON HWY.,Warning
EXCEEDING MAXIMUM SPEED: 63 MPH IN A POSTED 40 MPH ZONE,Citation
EXCEEDING MAXIMUM SPEED: 60 MPH IN A POSTED 40 MPH ZONE,Citation
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Warning
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,Citation
DRRIVING WITHOUT LICENSE,Citation
"NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",Citation
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Citation
"FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",Warning
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,Citation
DRIVING VEHICLE IN VIOLATION OF RESTRICTED LICENSE REQUIREMENT,Citation
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,Citation
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,Citation
FAILURE OF VEH. DRIVER IN ACCIDENT TO LOCATE AND NOTIFY OWNER OF UNATTENDED VEH. OF DAMAGE,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Citation
FAILURE OF VEH. DRIVER TO STOP AFTER UNATTENDED VEH. DAMAGE ACCIDENT,Citation
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,Citation
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 26-206,Citation
POSSESSING SUSPENDED LIC.,Citation
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,Warning
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,Warning
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Warning
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Warning
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,Warning
DRIVER CHANGING LANES WHEN UNSAFE,Warning
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,Warning
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,Warning
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,Warning
STOP LIGHTS (*),ESERO
TAG LIGHTS (*),ESERO
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,Warning
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Warning
DRIVING ON HWY. WITH OBSTRUCTED WINDSHIELD VIEW,Warning
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Warning
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Warning
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,Warning
DRIVER ENTERING CROSSWALK AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,Warning
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
DISPLAYING REG. PLATE ISSUED FOR OTHER VEHICLE,Citation
DRIVING VEH. ON HWY. WITH UNPAID REGISTRATION FEE,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Citation
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,Citation
FAILURE TO CARRY REGISTRATION CARD WITHIN VEHICLE,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation
FRAUDULENT POSSESSION OF VEH OWNERSHIP REG. PLATE,Citation
KNOWINGLY DRIVING  UNINSURED VEHICLE,Citation
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,Citation
UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,Citation
DRIVING UNSAFE VEH. ON HWY.,Warning
DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
"FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",Warning
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
OPERATOR NOT RESTRAINED BY SEATBELT,Warning
"DRIVING, CAUSING TO BE DRIVEN, KNOWINGLY PERMIT- ING TO BE DRIVEN UNSAFE VEH. ON HWY.",Warning
"MOTOR VEH., TRAILER, SEMI-TRAILER, POLE TRAILER W/O REQUIRED STOP LAMPS EQUIPMENT",Warning
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,Citation
TAILLIGHTS (*),ESERO
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,Citation
"FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Warning
DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,Citation
